Temperature,Pressure,CO2,Environment
31.4,1005.3,427.5,Urban
27.2,1012.4,467.7,Urban
33.9,1005.9,442.2,Urban
25.3,1007.2,450.5,Urban
25.3,1007.0,465.0,Urban
30.4,1007.2,458.9,Urban
33.1,1005.1,480.6,Urban
32.0,1008.4,415.5,Urban
34.6,1008.4,409.3,Urban
26.0,1013.5,460.4,Urban
33.1,1012.3,453.6,Urban
34.7,1008.8,455.2,Urban
33.3,1011.2,486.2,Urban
30.8,1012.0,404.6,Urban
27.3,1007.9,408.0,Urban
27.3,1006.0,427.8,Urban
31.4,1008.6,437.0,Urban
27.1,1007.7,493.7,Urban
31.5,1011.1,417.1,Urban
32.3,1006.6,437.9,Urban
34.9,1011.4,455.7,Urban
31.8,1013.4,477.6,Urban
27.3,1005.3,431.5,Urban
27.7,1007.1,494.3,Urban
33.8,1008.1,465.5,Urban
29.0,1014.1,445.9,Urban
27.6,1007.5,456.1,Urban
27.6,1010.8,489.8,Urban
29.0,1007.2,499.8,Urban
30.1,1005.9,404.7,Urban
26.1,1011.3,479.2,Urban
29.2,1005.6,438.2,Urban
35.0,1010.3,497.1,Urban
33.6,1005.1,472.1,Urban
31.8,1010.4,426.7,Urban
31.4,1006.1,443.5,Urban
29.5,1014.5,487.6,Urban
27.6,1010.0,417.9,Urban
34.1,1013.7,429.8,Urban
31.4,1011.1,415.3,Urban
32.6,1010.4,477.9,Urban
30.3,1005.0,432.4,Urban
25.2,1014.3,487.9,Urban
33.3,1008.1,405.8,Urban
33.8,1014.5,408.6,Urban
29.9,1005.7,476.1,Urban
32.7,1006.3,447.5,Urban
30.5,1007.7,487.2,Urban
29.2,1007.1,453.9,Urban
32.3,1007.0,431.2,Urban
25.0,1013.2,391.9,Countryside
20.2,1009.0,381.2,Countryside
18.4,1012.7,381.5,Countryside
17.2,1008.6,401.6,Countryside
17.3,1015.2,413.0,Countryside
15.7,1009.9,403.4,Countryside
17.1,1009.1,416.8,Countryside
20.7,1011.8,409.2,Countryside
23.1,1009.5,374.8,Countryside
19.3,1011.4,393.4,Countryside
22.3,1013.4,419.2,Countryside
16.0,1011.2,387.0,Countryside
23.6,1010.0,379.5,Countryside
19.5,1011.4,383.9,Countryside
17.5,1015.4,392.2,Countryside
23.6,1012.4,372.5,Countryside
25.0,1014.7,418.4,Countryside
24.3,1014.8,378.3,Countryside
19.9,1009.7,390.1,Countryside
15.6,1011.0,419.3,Countryside
17.7,1014.3,392.8,Countryside
19.2,1015.7,419.8,Countryside
20.6,1013.7,377.7,Countryside
18.0,1015.7,399.0,Countryside
20.4,1014.0,372.9,Countryside
20.8,1012.0,412.6,Countryside
16.6,1015.7,374.0,Countryside
16.9,1012.8,403.8,Countryside
17.4,1009.0,414.5,Countryside
17.5,1012.8,401.0,Countryside
19.2,1012.7,396.1,Countryside
24.3,1009.6,405.8,Countryside
17.4,1011.2,403.6,Countryside
18.0,1010.5,407.6,Countryside
15.7,1011.7,419.9,Countryside
25.0,1008.6,380.7,Countryside
17.7,1015.5,414.0,Countryside
23.8,1011.0,377.9,Countryside
23.3,1013.6,400.6,Countryside
24.9,1013.2,370.4,Countryside
23.2,1010.4,403.2,Countryside
24.4,1009.1,375.8,Countryside
16.1,1012.4,383.6,Countryside
21.0,1013.7,380.2,Countryside
21.3,1010.1,394.4,Countryside
24.1,1014.8,374.6,Countryside
19.2,1010.2,370.2,Countryside
22.7,1013.1,383.1,Countryside
22.4,1012.4,391.4,Countryside
15.1,1008.6,414.2,Countryside
19.0,1013.3,405.0,Forest
15.8,1010.9,383.8,Forest
13.1,1015.4,403.9,Forest
18.6,1015.4,386.3,Forest
12.5,1010.6,403.4,Forest
18.8,1012.4,398.6,Forest
11.5,1015.6,405.9,Forest
19.8,1014.9,406.4,Forest
10.2,1014.4,390.0,Forest
19.3,1014.8,405.9,Forest
18.1,1011.6,403.6,Forest
11.1,1015.2,405.8,Forest
12.2,1014.9,393.8,Forest
13.1,1014.8,386.8,Forest
10.2,1011.2,389.8,Forest
18.6,1015.8,388.4,Forest
16.4,1012.4,409.4,Forest
15.4,1015.6,383.5,Forest
19.7,1011.1,408.9,Forest
12.7,1010.7,393.0,Forest
24.4,1011.9,621.2,Indoor
23.1,1012.2,615.3,Indoor
21.5,1013.1,500.3,Indoor
25.6,1012.6,643.9,Indoor
24.5,1013.0,572.8,Indoor
20.4,1013.0,566.0,Indoor
21.9,1013.5,644.0,Indoor
21.8,1011.9,581.7,Indoor
22.4,1011.9,525.5,Indoor
22.5,1013.8,635.5,Indoor
25.4,1012.8,560.2,Indoor
23.3,1011.0,557.4,Indoor
22.6,1012.7,630.9,Indoor
22.8,1012.3,542.7,Indoor
22.8,1013.7,659.2,Indoor
21.0,1011.3,603.1,Indoor
23.8,1012.0,663.7,Indoor
24.5,1013.0,544.9,Indoor
21.2,1011.1,549.0,Indoor
22.9,1013.5,514.6,Indoor
33.3,1009.4,758.3,Industrial
35.6,1008.5,773.2,Industrial
35.2,1005.0,925.3,Industrial
36.2,1005.7,827.5,Industrial
31.4,1011.7,855.4,Industrial
30.4,1006.7,954.5,Industrial
33.7,1010.6,900.3,Industrial
37.9,1009.2,985.0,Industrial
37.1,1009.3,915.8,Industrial
34.0,1010.8,864.4,Industrial
37.2,1010.2,842.4,Industrial
32.1,1006.7,891.3,Industrial
36.1,1008.6,888.0,Industrial
32.2,1005.5,785.7,Industrial
32.2,1007.2,862.0,Industrial
31.1,1006.6,908.2,Industrial
35.7,1005.4,822.3,Industrial
34.3,1007.9,762.1,Industrial
33.4,1011.3,875.2,Industrial
35.6,1011.0,929.7,Industrial
3.8,850.3,394.1,High-altitude
7.5,892.7,418.1,High-altitude
4.2,887.4,401.8,High-altitude
6.0,861.0,388.8,High-altitude
4.4,851.5,393.4,High-altitude
6.8,870.2,386.6,High-altitude
4.7,856.4,404.9,High-altitude
0.3,869.7,402.6,High-altitude
0.3,882.1,385.4,High-altitude
4.6,852.5,395.2,High-altitude
19.3,1014.0,400.4,Ocean
20.3,1016.5,403.3,Ocean
19.5,1012.5,370.8,Ocean
21.2,1018.0,384.0,Ocean
21.9,1016.7,396.1,Ocean
22.5,1017.7,378.0,Ocean
18.1,1012.9,375.0,Ocean
22.0,1015.4,378.7,Ocean
22.2,1016.6,376.7,Ocean
21.6,1016.5,374.6,Ocean
